recorded-at, sample-id, comp. str. 2d, comp. str. 28d, reflectance L, reflectance a, reflectance b, water-demand, solidify-start, solidify-end, Le Chatelier, d10, d50, d', d84, d90, d95, CO2, limestone content, CaO, MgO, Al2O3, SO3, K2O, Na2O, Cl-, TiO2, MnO, S, HS, HS-XRF-sulfate-free, Na2O-equiv., C3S, C2S, C3A-orthorhombic, C3A-cubic, C4AF, unslaked lime, calcite, HS-XRC
2019-08-01 Do. 08:00 ,2019-08-00052,50.0,73.3,61.3,0.0,11.2,32.5,130,160,0.5,1.5,8.2,11.0,18.5,22.5,28.3,0.3,0.7,64.8,0.96,4.22,3.56,0.52,0.22,0.031,0.22,0.06,,,,0.56,62.4,15.8,2.6,3.7,7.7,0.9,0.0,
2019-07-31 Mi. 06:00 ,2019-07-03880,47.6,71.4,62.3,0.0,11.2,32.5,130,160,,1.4,7.8,10.9,19.0,24.1,32.4,0.3,0.6,64.8,0.95,4.19,3.40,0.56,0.22,0.043,0.22,0.06,,,,0.58,62.5,15.1,3.0,3.8,7.9,1.2,0.0,
2019-07-30 Di. 07:00 ,2019-07-03737,48.9,74.4,61.5,0.0,10.9,31.5,135,160,1.0,1.5,8.7,11.6,19.6,23.6,28.9,0.2,0.5,66.4,0.88,4.16,3.64,0.52,0.20,0.034,0.22,0.06,,,,0.54,63.8,14.3,2.5,3.9,7.2,0.7,0.2,
2019-07-29 Mo. 07:00 ,2019-07-03591,51.3,74.8,61.3,0.0,11.3,32.5,145,190,0.5,1.5,8.5,11.1,18.1,21.5,26.2,0.8,1.9,64.7,0.93,4.13,3.58,0.52,0.22,0.032,0.22,0.06,,,,0.56,62.3,13.5,2.7,4.3,7.4,0.8,1.4,
2019-07-25 Do. 06:00 ,2019-07-03132,49.3,72.4,61.8,0.0,10.8,32.5,130,160,0.1,1.4,8.2,10.9,18.1,21.8,27.2,0.3,0.7,65.2,0.97,4.21,3.57,0.51,0.21,0.031,0.22,0.06,,,,0.54,62.9,14.6,2.3,4.4,7.8,1.0,0.1,
2019-07-23 Di. 06:00 ,2019-07-02861,48.9,72.3,61.4,0.0,10.4,32.0,125,155,1.1,1.5,8.6,11.5,19.4,23.3,28.7,0.3,0.6,65.3,0.93,4.15,3.76,0.52,0.21,0.036,0.22,0.06,,,,0.55,62.6,14.2,1.9,4.5,7.2,0.9,0.2,
2019-07-22 Mo. 06:00 ,2019-07-02724,50.0,77.6,61.8,0.0,10.5,32.5,140,170,0.4,1.5,8.2,10.9,17.9,21.2,26.0,0.9,2.2,64.3,0.99,4.04,3.59,0.52,0.20,0.039,0.21,0.06,,,,0.54,61.5,13.0,2.7,4.2,7.5,1.1,2.4,
2019-07-18 Do. 07:00 ,2019-07-02266,50.2,72.0,60.7,0.0,11.1,32.5,125,150,0.2,1.4,8.1,10.7,17.9,21.5,27.0,0.3,0.7,64.6,0.98,4.18,3.65,0.50,0.22,0.028,0.22,0.06,,,,0.55,61.2,15.0,2.1,4.4,7.5,1.9,0.2,
2019-07-16 Di. 07:00 ,2019-07-01946,49.2,73.8,61.2,0.0,10.6,32.5,155,180,0.6,1.4,8.1,10.9,18.4,22.2,27.4,0.3,0.8,65.0,1.06,4.18,3.55,0.54,0.22,0.032,0.22,0.06,,,,0.58,62.8,14.5,2.8,3.9,7.1,1.8,0.1,
2019-07-15 Mo. 07:00 ,2019-07-01808,50.3,77.4,61.6,0.0,10.9,32.5,125,155,0.0,1.5,8.2,10.8,17.7,20.9,25.7,0.7,1.5,65.5,0.94,4.10,3.55,0.52,0.20,0.030,0.21,0.06,,,,0.54,64.1,10.8,2.8,4.3,7.5,1.1,2.2,
